0,1
"('ecoinvent-3.4-biosphere', 'e945c333-2e8f-4b70-a53e-77f01fa443bd')","Hydrocarbons, aromatic"
"('ecoinvent-3.4-biosphere', 'e945c333-2e8f-4b70-a53e-77f01fa443bd')","Hydrocarbons, aromatic"
"('ecoinvent-3.4-biosphere', 'e945c333-2e8f-4b70-a53e-77f01fa443bd')","Hydrocarbons, aromatic"
"('ecoinvent-3.4-biosphere', 'c7dcf08c-f297-495b-b7db-f4f54799814b')","2,4-D amines"
"('ecoinvent-3.4-biosphere', 'c7dcf08c-f297-495b-b7db-f4f54799814b')","2,4-D amines"
"('ecoinvent-3.4-biosphere', 'c7dcf08c-f297-495b-b7db-f4f54799814b')","2,4-D amines"
"('ecoinvent-3.4-biosphere', 'cce10142-69c4-4a72-a010-ac6b6abad1d3')","Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin"
"('ecoinvent-3.4-biosphere', 'cce10142-69c4-4a72-a010-ac6b6abad1d3')","Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin"
"('ecoinvent-3.4-biosphere', 'cce10142-69c4-4a72-a010-ac6b6abad1d3')","Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin"
"('ecoinvent-3.4-biosphere', '299f371a-61c1-4ea2-8c38-901aa74acf7d')",Iprodion
"('ecoinvent-3.4-biosphere', '299f371a-61c1-4ea2-8c38-901aa74acf7d')",Iprodion
"('ecoinvent-3.4-biosphere', '299f371a-61c1-4ea2-8c38-901aa74acf7d')",Iprodion
"('ecoinvent-3.4-biosphere', '4b1af256-23b8-4e53-8148-cf52040f5ad7')","Herbicides, unspecified"
"('ecoinvent-3.4-biosphere', '4b1af256-23b8-4e53-8148-cf52040f5ad7')","Herbicides, unspecified"
"('ecoinvent-3.4-biosphere', '4b1af256-23b8-4e53-8148-cf52040f5ad7')","Herbicides, unspecified"
"('ecoinvent-3.4-biosphere', 'ddd99a3a-be86-423d-b36a-a9dc8af1b1f8')","Particulates, < 2.5 um"
"('ecoinvent-3.4-biosphere', 'ddd99a3a-be86-423d-b36a-a9dc8af1b1f8')","Particulates, < 2.5 um"
"('ecoinvent-3.4-biosphere', 'ddd99a3a-be86-423d-b36a-a9dc8af1b1f8')","Particulates, < 2.5 um"
"('ecoinvent-3.4-biosphere', '5ce634de-b810-4533-9efb-719c38fe7c09')",Dissolved solids
"('ecoinvent-3.4-biosphere', '5ce634de-b810-4533-9efb-719c38fe7c09')",Dissolved solids
"('ecoinvent-3.4-biosphere', '5ce634de-b810-4533-9efb-719c38fe7c09')",Dissolved solids
"('ecoinvent-3.4-biosphere', '82c27b2a-69a8-4b1e-ad4e-4de9475630c6')","Oils, unspecified"
"('ecoinvent-3.4-biosphere', '82c27b2a-69a8-4b1e-ad4e-4de9475630c6')","Oils, unspecified"
"('ecoinvent-3.4-biosphere', '82c27b2a-69a8-4b1e-ad4e-4de9475630c6')","Oils, unspecified"
"('ecoinvent-3.4-biosphere', '2451f9df-0596-49ec-8380-08e4ad75a153')","Hydrocarbons, aliphatic, alkanes, unspecified"
"('ecoinvent-3.4-biosphere', '2451f9df-0596-49ec-8380-08e4ad75a153')","Hydrocarbons, aliphatic, alkanes, unspecified"
"('ecoinvent-3.4-biosphere', '2451f9df-0596-49ec-8380-08e4ad75a153')","Hydrocarbons, aliphatic, alkanes, unspecified"
"('ecoinvent-3.4-biosphere', 'ef7bc7b8-f85b-4687-9cb1-eb60384650fa')","Hydrocarbons, aliphatic, unsaturated"
"('ecoinvent-3.4-biosphere', 'ef7bc7b8-f85b-4687-9cb1-eb60384650fa')","Hydrocarbons, aliphatic, unsaturated"
"('ecoinvent-3.4-biosphere', 'ef7bc7b8-f85b-4687-9cb1-eb60384650fa')","Hydrocarbons, aliphatic, unsaturated"
"('ecoinvent-3.4-biosphere', '042e5892-cd59-4e95-949e-cacce0e6a590')","Hydrocarbons, unspecified"
"('ecoinvent-3.4-biosphere', '042e5892-cd59-4e95-949e-cacce0e6a590')","Hydrocarbons, unspecified"
"('ecoinvent-3.4-biosphere', '042e5892-cd59-4e95-949e-cacce0e6a590')","Hydrocarbons, unspecified"
"('ecoinvent-3.4-biosphere', 'ad83a9b9-77ce-4a23-852d-d606ec7f8ffb')",Tralkoxydim
"('ecoinvent-3.4-biosphere', 'ad83a9b9-77ce-4a23-852d-d606ec7f8ffb')",Tralkoxydim
"('ecoinvent-3.4-biosphere', 'ad83a9b9-77ce-4a23-852d-d606ec7f8ffb')",Tralkoxydim
"('ecoinvent-3.4-biosphere', 'b902d333-ded6-4c87-be52-8fc03fe6dfd4')","Hydrocarbons, aliphatic, alkanes, unspecified"
"('ecoinvent-3.4-biosphere', 'b902d333-ded6-4c87-be52-8fc03fe6dfd4')","Hydrocarbons, aliphatic, alkanes, unspecified"
"('ecoinvent-3.4-biosphere', 'b902d333-ded6-4c87-be52-8fc03fe6dfd4')","Hydrocarbons, aliphatic, alkanes, unspecified"
"('ecoinvent-3.4-biosphere', 'd6626dfb-3ac8-4169-9e75-54c41ef2a582')","Hydrocarbons, chlorinated"
"('ecoinvent-3.4-biosphere', 'd6626dfb-3ac8-4169-9e75-54c41ef2a582')","Hydrocarbons, chlorinated"
"('ecoinvent-3.4-biosphere', 'd6626dfb-3ac8-4169-9e75-54c41ef2a582')","Hydrocarbons, chlorinated"
"('ecoinvent-3.4-biosphere', '0061b12a-9084-499b-9fc0-bf66025198eb')",Ethyl cellulose
"('ecoinvent-3.4-biosphere', '0061b12a-9084-499b-9fc0-bf66025198eb')",Ethyl cellulose
"('ecoinvent-3.4-biosphere', '0061b12a-9084-499b-9fc0-bf66025198eb')",Ethyl cellulose
"('ecoinvent-3.4-biosphere', 'cfecebe1-1e13-458d-85bc-d40a9f934927')",Dissolved solids
"('ecoinvent-3.4-biosphere', 'cfecebe1-1e13-458d-85bc-d40a9f934927')",Dissolved solids
"('ecoinvent-3.4-biosphere', 'cfecebe1-1e13-458d-85bc-d40a9f934927')",Dissolved solids
"('ecoinvent-3.4-biosphere', '5666353e-2db2-41d3-8414-404709151422')","Metamorphous rock, graphite containing, in ground"
"('ecoinvent-3.4-biosphere', '5666353e-2db2-41d3-8414-404709151422')","Metamorphous rock, graphite containing, in ground"
"('ecoinvent-3.4-biosphere', '5666353e-2db2-41d3-8414-404709151422')","Metamorphous rock, graphite containing, in ground"
"('ecoinvent-3.4-biosphere', 'd3260d0e-8203-4cbb-a45a-6a13131a5108')","NMVOC, non-methane volatile organic compounds, unspecified origin"
"('ecoinvent-3.4-biosphere', 'd3260d0e-8203-4cbb-a45a-6a13131a5108')","NMVOC, non-methane volatile organic compounds, unspecified origin"
"('ecoinvent-3.4-biosphere', 'd3260d0e-8203-4cbb-a45a-6a13131a5108')","NMVOC, non-methane volatile organic compounds, unspecified origin"
"('ecoinvent-3.4-biosphere', '051aaf7a-6c1a-4e86-999f-85d5f0830df6')","Particulates, < 2.5 um"
"('ecoinvent-3.4-biosphere', '051aaf7a-6c1a-4e86-999f-85d5f0830df6')","Particulates, < 2.5 um"
"('ecoinvent-3.4-biosphere', '051aaf7a-6c1a-4e86-999f-85d5f0830df6')","Particulates, < 2.5 um"
"('ecoinvent-3.4-biosphere', '5c234628-ab1e-4284-ae2b-f1c2f6883f71')",Xylene
"('ecoinvent-3.4-biosphere', '5c234628-ab1e-4284-ae2b-f1c2f6883f71')",Xylene
"('ecoinvent-3.4-biosphere', '5c234628-ab1e-4284-ae2b-f1c2f6883f71')",Xylene
"('ecoinvent-3.4-biosphere', 'c8fc7ae6-3d48-4b1e-94a2-3b74dcd1dd2f')",Ethyl cellulose
"('ecoinvent-3.4-biosphere', 'c8fc7ae6-3d48-4b1e-94a2-3b74dcd1dd2f')",Ethyl cellulose
"('ecoinvent-3.4-biosphere', 'c8fc7ae6-3d48-4b1e-94a2-3b74dcd1dd2f')",Ethyl cellulose
"('ecoinvent-3.4-biosphere', 'f228fcae-8e19-4a73-9d8c-60ec8adaea50')","Hydrocarbons, aliphatic, unsaturated"
"('ecoinvent-3.4-biosphere', 'f228fcae-8e19-4a73-9d8c-60ec8adaea50')","Hydrocarbons, aliphatic, unsaturated"
"('ecoinvent-3.4-biosphere', 'f228fcae-8e19-4a73-9d8c-60ec8adaea50')","Hydrocarbons, aliphatic, unsaturated"
"('ecoinvent-3.4-biosphere', 'd1c0567e-ff1a-4cb7-a4f0-de28b2d99b63')","TOC, Total Organic Carbon"
"('ecoinvent-3.4-biosphere', 'd1c0567e-ff1a-4cb7-a4f0-de28b2d99b63')","TOC, Total Organic Carbon"
"('ecoinvent-3.4-biosphere', 'd1c0567e-ff1a-4cb7-a4f0-de28b2d99b63')","TOC, Total Organic Carbon"
"('ecoinvent-3.4-biosphere', '23c39061-9fdb-4753-8aaa-893a8cad4a4e')",Paraffins
"('ecoinvent-3.4-biosphere', '23c39061-9fdb-4753-8aaa-893a8cad4a4e')",Paraffins
"('ecoinvent-3.4-biosphere', '23c39061-9fdb-4753-8aaa-893a8cad4a4e')",Paraffins
"('ecoinvent-3.4-biosphere', 'd7e798b0-18c9-495e-a590-e3fc7d5491ba')","Carboxylic acids, unspecified"
"('ecoinvent-3.4-biosphere', 'd7e798b0-18c9-495e-a590-e3fc7d5491ba')","Carboxylic acids, unspecified"
"('ecoinvent-3.4-biosphere', 'd7e798b0-18c9-495e-a590-e3fc7d5491ba')","Carboxylic acids, unspecified"
"('ecoinvent-3.4-biosphere', 'f9abb851-8731-4c5b-b057-863996a1f94a')","Hydrocarbons, unspecified"
"('ecoinvent-3.4-biosphere', 'f9abb851-8731-4c5b-b057-863996a1f94a')","Hydrocarbons, unspecified"
"('ecoinvent-3.4-biosphere', 'f9abb851-8731-4c5b-b057-863996a1f94a')","Hydrocarbons, unspecified"
"('ecoinvent-3.4-biosphere', '3a53d5b5-bc5a-4c94-b507-f94169a58f23')",Methyl amine
"('ecoinvent-3.4-biosphere', '3a53d5b5-bc5a-4c94-b507-f94169a58f23')",Methyl amine
"('ecoinvent-3.4-biosphere', '3a53d5b5-bc5a-4c94-b507-f94169a58f23')",Methyl amine
"('ecoinvent-3.4-biosphere', '21f77eaa-6f3e-426d-8932-fde33cd936d6')","Oils, unspecified"
"('ecoinvent-3.4-biosphere', '21f77eaa-6f3e-426d-8932-fde33cd936d6')","Oils, unspecified"
"('ecoinvent-3.4-biosphere', '21f77eaa-6f3e-426d-8932-fde33cd936d6')","Oils, unspecified"
"('ecoinvent-3.4-biosphere', '6248aeed-1ce1-49ee-be1c-3471ebf0a82e')",Mesosulfuron-methyl (prop)
"('ecoinvent-3.4-biosphere', '6248aeed-1ce1-49ee-be1c-3471ebf0a82e')",Mesosulfuron-methyl (prop)
"('ecoinvent-3.4-biosphere', '6248aeed-1ce1-49ee-be1c-3471ebf0a82e')",Mesosulfuron-methyl (prop)
"('ecoinvent-3.4-biosphere', '7a7054c4-bc1e-4ae2-a31e-b7752bdbeb75')","Hydrocarbons, aliphatic, alkanes, unspecified"
"('ecoinvent-3.4-biosphere', '7a7054c4-bc1e-4ae2-a31e-b7752bdbeb75')","Hydrocarbons, aliphatic, alkanes, unspecified"
"('ecoinvent-3.4-biosphere', '7a7054c4-bc1e-4ae2-a31e-b7752bdbeb75')","Hydrocarbons, aliphatic, alkanes, unspecified"
"('ecoinvent-3.4-biosphere', '693921ef-e02d-4072-add0-55aa4631b213')","Suspended solids, unspecified"
"('ecoinvent-3.4-biosphere', '693921ef-e02d-4072-add0-55aa4631b213')","Suspended solids, unspecified"
"('ecoinvent-3.4-biosphere', '693921ef-e02d-4072-add0-55aa4631b213')","Suspended solids, unspecified"
"('ecoinvent-3.4-biosphere', 'f6f5933a-5119-41aa-a5ec-7919706c59f2')","Chlorinated solvents, unspecified"
"('ecoinvent-3.4-biosphere', 'f6f5933a-5119-41aa-a5ec-7919706c59f2')","Chlorinated solvents, unspecified"
"('ecoinvent-3.4-biosphere', 'f6f5933a-5119-41aa-a5ec-7919706c59f2')","Chlorinated solvents, unspecified"
"('ecoinvent-3.4-biosphere', '4841a0fe-c250-4a39-94a1-1bc31426c0f1')",Nitrogen oxides
"('ecoinvent-3.4-biosphere', '4841a0fe-c250-4a39-94a1-1bc31426c0f1')",Nitrogen oxides
"('ecoinvent-3.4-biosphere', '4841a0fe-c250-4a39-94a1-1bc31426c0f1')",Nitrogen oxides
"('ecoinvent-3.4-biosphere', '645f66af-4b28-4b61-82fb-f30012cab42f')","Acidity, unspecified"
"('ecoinvent-3.4-biosphere', '645f66af-4b28-4b61-82fb-f30012cab42f')","Acidity, unspecified"
"('ecoinvent-3.4-biosphere', '645f66af-4b28-4b61-82fb-f30012cab42f')","Acidity, unspecified"
"('ecoinvent-3.4-biosphere', '13b07693-bf3c-4f08-8e21-a4a6b743106c')",Paraffins
"('ecoinvent-3.4-biosphere', '13b07693-bf3c-4f08-8e21-a4a6b743106c')",Paraffins
"('ecoinvent-3.4-biosphere', '13b07693-bf3c-4f08-8e21-a4a6b743106c')",Paraffins
"('ecoinvent-3.4-biosphere', 'd3ac53b1-17d5-40e7-b51d-422e16316404')",Methyl amine
"('ecoinvent-3.4-biosphere', 'd3ac53b1-17d5-40e7-b51d-422e16316404')",Methyl amine
"('ecoinvent-3.4-biosphere', '1eb1b94c-e9d8-47ab-969b-9cca920157d8')","Particulates, > 10 um"
"('ecoinvent-3.4-biosphere', '1eb1b94c-e9d8-47ab-969b-9cca920157d8')","Particulates, > 10 um"
"('ecoinvent-3.4-biosphere', '1eb1b94c-e9d8-47ab-969b-9cca920157d8')","Particulates, > 10 um"
"('ecoinvent-3.4-biosphere', '961ccd56-2eee-4f57-bb18-fc4362b49000')","COD, Chemical Oxygen Demand"
"('ecoinvent-3.4-biosphere', '961ccd56-2eee-4f57-bb18-fc4362b49000')","COD, Chemical Oxygen Demand"
"('ecoinvent-3.4-biosphere', '961ccd56-2eee-4f57-bb18-fc4362b49000')","COD, Chemical Oxygen Demand"
"('ecoinvent-3.4-biosphere', '11a2a7b1-ab2f-47b8-9e29-6f33d5207fa6')","Gypsum, in ground"
"('ecoinvent-3.4-biosphere', '11a2a7b1-ab2f-47b8-9e29-6f33d5207fa6')","Gypsum, in ground"
"('ecoinvent-3.4-biosphere', '11a2a7b1-ab2f-47b8-9e29-6f33d5207fa6')","Gypsum, in ground"
"('ecoinvent-3.4-biosphere', 'be4835bf-5252-48c1-be48-14f59d533bbd')","Oils, non-fossil"
"('ecoinvent-3.4-biosphere', 'be4835bf-5252-48c1-be48-14f59d533bbd')","Oils, non-fossil"
"('ecoinvent-3.4-biosphere', 'be4835bf-5252-48c1-be48-14f59d533bbd')","Oils, non-fossil"
"('ecoinvent-3.4-biosphere', '295c9740-6fdb-4676-9eb8-15e3786f713d')","Particulates, > 2.5 um, and < 10um"
"('ecoinvent-3.4-biosphere', '295c9740-6fdb-4676-9eb8-15e3786f713d')","Particulates, > 2.5 um, and < 10um"
"('ecoinvent-3.4-biosphere', '295c9740-6fdb-4676-9eb8-15e3786f713d')","Particulates, > 2.5 um, and < 10um"
"('ecoinvent-3.4-biosphere', 'ac3a8914-35f0-4c34-a956-f26b3a053e4a')","Basalt, in ground"
"('ecoinvent-3.4-biosphere', 'ac3a8914-35f0-4c34-a956-f26b3a053e4a')","Basalt, in ground"
"('ecoinvent-3.4-biosphere', 'ac3a8914-35f0-4c34-a956-f26b3a053e4a')","Basalt, in ground"
"('ecoinvent-3.4-biosphere', '5fa05c4f-8766-41ff-9dd1-fa47c0b7ea48')","Methane, chloro-fluoro-, HCFC-31"
"('ecoinvent-3.4-biosphere', '5fa05c4f-8766-41ff-9dd1-fa47c0b7ea48')","Methane, chloro-fluoro-, HCFC-31"
"('ecoinvent-3.4-biosphere', '5fa05c4f-8766-41ff-9dd1-fa47c0b7ea48')","Methane, chloro-fluoro-, HCFC-31"
"('ecoinvent-3.4-biosphere', '5d691e58-2074-4661-8525-d98a173e1c99')",Polychlorinated biphenyls
"('ecoinvent-3.4-biosphere', '5d691e58-2074-4661-8525-d98a173e1c99')",Polychlorinated biphenyls
"('ecoinvent-3.4-biosphere', '5d691e58-2074-4661-8525-d98a173e1c99')",Polychlorinated biphenyls
"('ecoinvent-3.4-biosphere', '78cd4852-e7b9-4301-adf7-51e730b0356a')","TiO2, 54% in ilmenite, 2.6% in crude ore, in ground"
"('ecoinvent-3.4-biosphere', '78cd4852-e7b9-4301-adf7-51e730b0356a')","TiO2, 54% in ilmenite, 2.6% in crude ore, in ground"
"('ecoinvent-3.4-biosphere', '78cd4852-e7b9-4301-adf7-51e730b0356a')","TiO2, 54% in ilmenite, 2.6% in crude ore, in ground"
"('ecoinvent-3.4-biosphere', 'e94f4bf3-3e8a-4aa1-a9c9-799218337fc6')",Paraffins
"('ecoinvent-3.4-biosphere', 'e94f4bf3-3e8a-4aa1-a9c9-799218337fc6')",Paraffins
"('ecoinvent-3.4-biosphere', 'e94f4bf3-3e8a-4aa1-a9c9-799218337fc6')",Paraffins
"('ecoinvent-3.4-biosphere', '34837fe3-4332-493c-86bb-95a207d9c234')","Hydrocarbons, aliphatic, unsaturated"
"('ecoinvent-3.4-biosphere', '34837fe3-4332-493c-86bb-95a207d9c234')","Hydrocarbons, aliphatic, unsaturated"
"('ecoinvent-3.4-biosphere', '34837fe3-4332-493c-86bb-95a207d9c234')","Hydrocarbons, aliphatic, unsaturated"
"('ecoinvent-3.4-biosphere', '3f5339ef-1939-4f44-8cd6-98ac7584d456')","NMVOC, non-methane volatile organic compounds, unspecified origin"
"('ecoinvent-3.4-biosphere', '3f5339ef-1939-4f44-8cd6-98ac7584d456')","NMVOC, non-methane volatile organic compounds, unspecified origin"
"('ecoinvent-3.4-biosphere', '3f5339ef-1939-4f44-8cd6-98ac7584d456')","NMVOC, non-methane volatile organic compounds, unspecified origin"
"('ecoinvent-3.4-biosphere', '9ffcc5df-8eb2-43f1-9915-b1cdcb853162')","Herbicides, unspecified"
"('ecoinvent-3.4-biosphere', '9ffcc5df-8eb2-43f1-9915-b1cdcb853162')","Herbicides, unspecified"
"('ecoinvent-3.4-biosphere', '9ffcc5df-8eb2-43f1-9915-b1cdcb853162')","Herbicides, unspecified"
"('ecoinvent-3.4-biosphere', 'bd254636-6538-4bcf-b0e5-62a2e8252b57')",Dissolved solids
"('ecoinvent-3.4-biosphere', 'bd254636-6538-4bcf-b0e5-62a2e8252b57')",Dissolved solids
"('ecoinvent-3.4-biosphere', 'bd254636-6538-4bcf-b0e5-62a2e8252b57')",Dissolved solids
"('ecoinvent-3.4-biosphere', '21e46cb8-6233-4c99-bac3-c41d2ab99498')","Particulates, < 2.5 um"
"('ecoinvent-3.4-biosphere', '21e46cb8-6233-4c99-bac3-c41d2ab99498')","Particulates, < 2.5 um"
"('ecoinvent-3.4-biosphere', '21e46cb8-6233-4c99-bac3-c41d2ab99498')","Particulates, < 2.5 um"
"('ecoinvent-3.4-biosphere', '3aa9471c-359f-40b4-b0c7-266123f2623e')",Propoxycarbazone-sodium (prop)
"('ecoinvent-3.4-biosphere', '3aa9471c-359f-40b4-b0c7-266123f2623e')",Propoxycarbazone-sodium (prop)
"('ecoinvent-3.4-biosphere', '3aa9471c-359f-40b4-b0c7-266123f2623e')",Propoxycarbazone-sodium (prop)
"('ecoinvent-3.4-biosphere', 'e61443a5-41b6-4407-a1cd-116bdfb38a67')",Organic carbon
"('ecoinvent-3.4-biosphere', 'e61443a5-41b6-4407-a1cd-116bdfb38a67')",Organic carbon
"('ecoinvent-3.4-biosphere', 'e61443a5-41b6-4407-a1cd-116bdfb38a67')",Organic carbon
"('ecoinvent-3.4-biosphere', 'a7284b4f-39ea-40a8-8207-91e77c455a08')",Methyl amine
"('ecoinvent-3.4-biosphere', 'a7284b4f-39ea-40a8-8207-91e77c455a08')",Methyl amine
"('ecoinvent-3.4-biosphere', 'a7284b4f-39ea-40a8-8207-91e77c455a08')",Methyl amine
"('ecoinvent-3.4-biosphere', 'f012d2d5-ebb4-4531-8285-0b98af3dcbd4')","BOD5, Biological Oxygen Demand"
"('ecoinvent-3.4-biosphere', 'f012d2d5-ebb4-4531-8285-0b98af3dcbd4')","BOD5, Biological Oxygen Demand"
"('ecoinvent-3.4-biosphere', 'f012d2d5-ebb4-4531-8285-0b98af3dcbd4')","BOD5, Biological Oxygen Demand"
"('ecoinvent-3.4-biosphere', '96dba537-69a1-4aec-a754-c90d0ca48ccf')",Methyl amine
"('ecoinvent-3.4-biosphere', '96dba537-69a1-4aec-a754-c90d0ca48ccf')",Methyl amine
"('ecoinvent-3.4-biosphere', '96dba537-69a1-4aec-a754-c90d0ca48ccf')",Methyl amine
"('ecoinvent-3.4-biosphere', '6986913c-284b-4173-95fe-4a242498b1bc')","2,4-D ester"
"('ecoinvent-3.4-biosphere', '6986913c-284b-4173-95fe-4a242498b1bc')","2,4-D ester"
"('ecoinvent-3.4-biosphere', '6986913c-284b-4173-95fe-4a242498b1bc')","2,4-D ester"
"('ecoinvent-3.4-biosphere', '33b38ccb-593b-4b11-b965-10d747ba3556')","NMVOC, non-methane volatile organic compounds, unspecified origin"
"('ecoinvent-3.4-biosphere', '33b38ccb-593b-4b11-b965-10d747ba3556')","NMVOC, non-methane volatile organic compounds, unspecified origin"
"('ecoinvent-3.4-biosphere', '33b38ccb-593b-4b11-b965-10d747ba3556')","NMVOC, non-methane volatile organic compounds, unspecified origin"
"('ecoinvent-3.4-biosphere', '8b5d5c1d-c786-4367-94f0-fae42cd3ac0a')","Hydrocarbons, aromatic"
"('ecoinvent-3.4-biosphere', '8b5d5c1d-c786-4367-94f0-fae42cd3ac0a')","Hydrocarbons, aromatic"
"('ecoinvent-3.4-biosphere', '8b5d5c1d-c786-4367-94f0-fae42cd3ac0a')","Hydrocarbons, aromatic"
"('ecoinvent-3.4-biosphere', '41f45128-cebe-4ece-aafa-7406a5c98775')","Methane, chloro-fluoro-, HCFC-31"
"('ecoinvent-3.4-biosphere', '41f45128-cebe-4ece-aafa-7406a5c98775')","Methane, chloro-fluoro-, HCFC-31"
"('ecoinvent-3.4-biosphere', '41f45128-cebe-4ece-aafa-7406a5c98775')","Methane, chloro-fluoro-, HCFC-31"
"('ecoinvent-3.4-biosphere', 'b001715e-60e4-4f1d-949d-1acfab65bd8f')","Particulates, > 10 um"
"('ecoinvent-3.4-biosphere', 'b001715e-60e4-4f1d-949d-1acfab65bd8f')","Particulates, > 10 um"
"('ecoinvent-3.4-biosphere', 'b001715e-60e4-4f1d-949d-1acfab65bd8f')","Particulates, > 10 um"
"('ecoinvent-3.4-biosphere', '237a5f15-8119-472a-8988-88b7ecb42405')","Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin"
"('ecoinvent-3.4-biosphere', '237a5f15-8119-472a-8988-88b7ecb42405')","Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin"
"('ecoinvent-3.4-biosphere', '237a5f15-8119-472a-8988-88b7ecb42405')","Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin"
"('ecoinvent-3.4-biosphere', 'b1945566-c8ad-4d48-9135-c39eedde1e63')",Methyl amine
"('ecoinvent-3.4-biosphere', 'b1945566-c8ad-4d48-9135-c39eedde1e63')",Methyl amine
"('ecoinvent-3.4-biosphere', 'b1945566-c8ad-4d48-9135-c39eedde1e63')",Methyl amine
"('ecoinvent-3.4-biosphere', '73b225ab-ddc4-4a38-9ed0-ceedee987424')","TOC, Total Organic Carbon"
"('ecoinvent-3.4-biosphere', '73b225ab-ddc4-4a38-9ed0-ceedee987424')","TOC, Total Organic Carbon"
"('ecoinvent-3.4-biosphere', '73b225ab-ddc4-4a38-9ed0-ceedee987424')","TOC, Total Organic Carbon"
"('ecoinvent-3.4-biosphere', '88d06db9-59a1-4719-9174-afeb1fa4026a')","Oil, crude, in ground"
"('ecoinvent-3.4-biosphere', '88d06db9-59a1-4719-9174-afeb1fa4026a')","Oil, crude, in ground"
"('ecoinvent-3.4-biosphere', '88d06db9-59a1-4719-9174-afeb1fa4026a')","Oil, crude, in ground"
"('ecoinvent-3.4-biosphere', '9cda96ce-e1cf-4192-8614-52be32d200f4')",Terpenes
"('ecoinvent-3.4-biosphere', '9cda96ce-e1cf-4192-8614-52be32d200f4')",Terpenes
"('ecoinvent-3.4-biosphere', '9cda96ce-e1cf-4192-8614-52be32d200f4')",Terpenes
"('ecoinvent-3.4-biosphere', '69bb7dd8-43bc-49ff-a67c-0eb8e82558d0')","2,4-D ester"
"('ecoinvent-3.4-biosphere', '69bb7dd8-43bc-49ff-a67c-0eb8e82558d0')","2,4-D ester"
"('ecoinvent-3.4-biosphere', '69bb7dd8-43bc-49ff-a67c-0eb8e82558d0')","2,4-D ester"
"('ecoinvent-3.4-biosphere', 'c1b91234-6f24-417b-8309-46111d09c457')",Nitrogen oxides
"('ecoinvent-3.4-biosphere', 'c1b91234-6f24-417b-8309-46111d09c457')",Nitrogen oxides
"('ecoinvent-3.4-biosphere', 'c1b91234-6f24-417b-8309-46111d09c457')",Nitrogen oxides
"('ecoinvent-3.4-biosphere', '1cd8762b-d985-4206-b57e-f321e9b52399')",Prothioconazol
"('ecoinvent-3.4-biosphere', '1cd8762b-d985-4206-b57e-f321e9b52399')",Prothioconazol
"('ecoinvent-3.4-biosphere', '1cd8762b-d985-4206-b57e-f321e9b52399')",Prothioconazol
"('ecoinvent-3.4-biosphere', 'b42ad523-227d-4774-bcc6-a5f4f7ba2bb2')",Methyl amine
"('ecoinvent-3.4-biosphere', 'b42ad523-227d-4774-bcc6-a5f4f7ba2bb2')",Methyl amine
"('ecoinvent-3.4-biosphere', 'b42ad523-227d-4774-bcc6-a5f4f7ba2bb2')",Methyl amine
"('ecoinvent-3.4-biosphere', '34cbdeb9-6462-4938-a048-881a9f7e6978')","Hydrocarbons, aromatic"
"('ecoinvent-3.4-biosphere', '34cbdeb9-6462-4938-a048-881a9f7e6978')","Hydrocarbons, aromatic"
"('ecoinvent-3.4-biosphere', '34cbdeb9-6462-4938-a048-881a9f7e6978')","Hydrocarbons, aromatic"
