,index,name,categories,type,unit,database,0
0,Score,,,,,,-1.3828107460023297e-08
2,Rest (-),,,,,,-5.728396088115826e-10
3,"Chromium, 25.5% in chromite, 11.6% in crude ore, in ground | ('natural resource', 'in ground') | natural resource | kilogram | ecoinvent-3.4-biosphere","Chromium, 25.5% in chromite, 11.6% in crude ore, in ground","('natural resource', 'in ground')",natural resource,change in ore grade per kg of metal extracted,ecoinvent-3.4-biosphere,-2.061579109608939e-09
4,"Clay, unspecified, in ground | ('natural resource', 'in ground') | natural resource | kilogram | ecoinvent-3.4-biosphere","Clay, unspecified, in ground","('natural resource', 'in ground')",natural resource,change in ore grade per kg of metal extracted,ecoinvent-3.4-biosphere,-1.5599669361819357e-09
5,"Zinc, Zn 0.63%, in mixed ore, in ground | ('natural resource', 'in ground') | natural resource | kilogram | ecoinvent-3.4-biosphere","Zinc, Zn 0.63%, in mixed ore, in ground","('natural resource', 'in ground')",natural resource,change in ore grade per kg of metal extracted,ecoinvent-3.4-biosphere,-1.3654367530295587e-09
6,"Lead, Pb 0.014%, in mixed ore, in ground | ('natural resource', 'in ground') | natural resource | kilogram | ecoinvent-3.4-biosphere","Lead, Pb 0.014%, in mixed ore, in ground","('natural resource', 'in ground')",natural resource,change in ore grade per kg of metal extracted,ecoinvent-3.4-biosphere,-1.1523490168187232e-09
7,"Copper, 0.99% in sulfide, Cu 0.36% and Mo 8.2E-3% in crude ore, in ground | ('natural resource', 'in ground') | natural resource | kilogram | ecoinvent-3.4-biosphere","Copper, 0.99% in sulfide, Cu 0.36% and Mo 8.2E-3% in crude ore, in ground","('natural resource', 'in ground')",natural resource,change in ore grade per kg of metal extracted,ecoinvent-3.4-biosphere,-1.0901084430937148e-09
8,"Copper, Cu 0.38%, in mixed ore, in ground | ('natural resource', 'in ground') | natural resource | kilogram | ecoinvent-3.4-biosphere","Copper, Cu 0.38%, in mixed ore, in ground","('natural resource', 'in ground')",natural resource,change in ore grade per kg of metal extracted,ecoinvent-3.4-biosphere,-9.90218935317795e-10
9,"Copper, 0.52% in sulfide, Cu 0.27% and Mo 8.2E-3% in crude ore, in ground | ('natural resource', 'in ground') | natural resource | kilogram | ecoinvent-3.4-biosphere","Copper, 0.52% in sulfide, Cu 0.27% and Mo 8.2E-3% in crude ore, in ground","('natural resource', 'in ground')",natural resource,change in ore grade per kg of metal extracted,ecoinvent-3.4-biosphere,-7.391825283264272e-10
10,"Copper, 1.18% in sulfide, Cu 0.39% and Mo 8.2E-3% in crude ore, in ground | ('natural resource', 'in ground') | natural resource | kilogram | ecoinvent-3.4-biosphere","Copper, 1.18% in sulfide, Cu 0.39% and Mo 8.2E-3% in crude ore, in ground","('natural resource', 'in ground')",natural resource,change in ore grade per kg of metal extracted,ecoinvent-3.4-biosphere,-5.833957769033565e-10
11,"Nickel, 1.13% in sulfide, Ni 0.76% and Cu 0.76% in crude ore, in ground | ('natural resource', 'in ground') | natural resource | kilogram | ecoinvent-3.4-biosphere","Nickel, 1.13% in sulfide, Ni 0.76% and Cu 0.76% in crude ore, in ground","('natural resource', 'in ground')",natural resource,change in ore grade per kg of metal extracted,ecoinvent-3.4-biosphere,-5.712200910356282e-10
12,"Aluminium, in ground | ('natural resource', 'in ground') | natural resource | kilogram | ecoinvent-3.4-biosphere","Aluminium, in ground","('natural resource', 'in ground')",natural resource,change in ore grade per kg of metal extracted,ecoinvent-3.4-biosphere,-4.825920970202151e-10
13,"Copper, 0.59% in sulfide, Cu 0.22% and Mo 8.2E-3% in crude ore, in ground | ('natural resource', 'in ground') | natural resource | kilogram | ecoinvent-3.4-biosphere","Copper, 0.59% in sulfide, Cu 0.22% and Mo 8.2E-3% in crude ore, in ground","('natural resource', 'in ground')",natural resource,change in ore grade per kg of metal extracted,ecoinvent-3.4-biosphere,-4.1082287528502273e-10
14,"Zinc, 9.0% in sulfide, Zn 5.3%, Pb, Ag, Cd, In, in ground | ('natural resource', 'in ground') | natural resource | kilogram | ecoinvent-3.4-biosphere","Zinc, 9.0% in sulfide, Zn 5.3%, Pb, Ag, Cd, In, in ground","('natural resource', 'in ground')",natural resource,change in ore grade per kg of metal extracted,ecoinvent-3.4-biosphere,-3.941131990978677e-10
15,"Nickel, 1.98% in silicates, 1.04% in crude ore, in ground | ('natural resource', 'in ground') | natural resource | kilogram | ecoinvent-3.4-biosphere","Nickel, 1.98% in silicates, 1.04% in crude ore, in ground","('natural resource', 'in ground')",natural resource,change in ore grade per kg of metal extracted,ecoinvent-3.4-biosphere,-3.4381419656173137e-10
16,"Copper, 2.19% in sulfide, Cu 1.83% and Mo 8.2E-3% in crude ore, in ground | ('natural resource', 'in ground') | natural resource | kilogram | ecoinvent-3.4-biosphere","Copper, 2.19% in sulfide, Cu 1.83% and Mo 8.2E-3% in crude ore, in ground","('natural resource', 'in ground')",natural resource,change in ore grade per kg of metal extracted,ecoinvent-3.4-biosphere,-3.122129971744787e-10
17,"Lead, 5.0% in sulfide, Pb 3.0%, Zn, Ag, Cd, In, in ground | ('natural resource', 'in ground') | natural resource | kilogram | ecoinvent-3.4-biosphere","Lead, 5.0% in sulfide, Pb 3.0%, Zn, Ag, Cd, In, in ground","('natural resource', 'in ground')",natural resource,change in ore grade per kg of metal extracted,ecoinvent-3.4-biosphere,-2.395291622574064e-10
18,"Molybdenum, 0.016% in sulfide, Mo 8.2E-3% and Cu 0.27% in crude ore, in ground | ('natural resource', 'in ground') | natural resource | kilogram | ecoinvent-3.4-biosphere","Molybdenum, 0.016% in sulfide, Mo 8.2E-3% and Cu 0.27% in crude ore, in ground","('natural resource', 'in ground')",natural resource,change in ore grade per kg of metal extracted,ecoinvent-3.4-biosphere,-2.379592886832779e-10
19,"Molybdenum, 0.022% in sulfide, Mo 8.2E-3% and Cu 0.36% in crude ore, in ground | ('natural resource', 'in ground') | natural resource | kilogram | ecoinvent-3.4-biosphere","Molybdenum, 0.022% in sulfide, Mo 8.2E-3% and Cu 0.36% in crude ore, in ground","('natural resource', 'in ground')",natural resource,change in ore grade per kg of metal extracted,ecoinvent-3.4-biosphere,-1.9935716604309037e-10
20,"Ni, Ni 2.3E+0%, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Cu 3.2E+0% in ore, in ground | ('natural resource', 'in ground') | natural resource | kilogram | ecoinvent-3.4-biosphere","Ni, Ni 2.3E+0%, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Cu 3.2E+0% in ore, in ground","('natural resource', 'in ground')",natural resource,change in ore grade per kg of metal extracted,ecoinvent-3.4-biosphere,-1.8314073326329162e-10
21,"Iron, 46% in ore, 25% in crude ore, in ground | ('natural resource', 'in ground') | natural resource | kilogram | ecoinvent-3.4-biosphere","Iron, 46% in ore, 25% in crude ore, in ground","('natural resource', 'in ground')",natural resource,change in ore grade per kg of metal extracted,ecoinvent-3.4-biosphere,-1.820007622737518e-10
22,"Molybdenum, 0.025% in sulfide, Mo 8.2E-3% and Cu 0.39% in crude ore, in ground | ('natural resource', 'in ground') | natural resource | kilogram | ecoinvent-3.4-biosphere","Molybdenum, 0.025% in sulfide, Mo 8.2E-3% and Cu 0.39% in crude ore, in ground","('natural resource', 'in ground')",natural resource,change in ore grade per kg of metal extracted,ecoinvent-3.4-biosphere,-1.5626778323550423e-10
